parent_code,name,productid,sku,price,qty,description,activity,gender,material,special_price
backpack,Wayfarer Messenger Bag,24-MB05,24-MB05,45,100,"<p>Perfect for class, work or the gym, the Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.</p> <ul> <li>Multiple internal zip pockets.</li> <li>Made of durable nylon.</li> </ul>",Waterproof Lightweight Reflective Laptop Sleeve Lockable,Adjustable Detachable Double Padded Shoulder,Nylon Polyester,0
backpack,Rival Field Messenger,24-MB06,24-MB06,45,100,"<p>The Rival Field Messenger packs all your campus, studio or trail essentials inside a unique design of soft, textured leather - with loads of character to spare. Two exterior pockets keep all your smaller items handy, and the roomy interior offers even more space.</p> <ul> <li>Leather construction.</li> <li>Adjustable fabric carry strap.</li> <li>Dimensions: 18"" x 10"" x 4"".</li> </ul>",Flapover Lightweight Laptop Sleeve,Adjustable Cross Body Shoulder Single,Leather Nylon Suede,0
backpack,Fusion Backpack,24-MB02,24-MB02,59,100,"<p>With the Fusion Backpack strapped on, every trek is an adventure - even a bus ride to work. That's partly because two large zippered compartments store everything you need, while a front zippered pocket and side mesh pouches are perfect for stashing those little extras, in case you change your mind and take the day off.</p> <ul> <li>Durable nylon construction.</li> <li>2 main zippered compartments.</li> <li>1 exterior zippered pocket.</li> <li>Mesh side pouches.</li> <li>Padded, adjustable straps.</li> <li>Top carry handle.</li> <li>Dimensions: 18"" x 10"" x 6"".</li> </ul>",Hydration Pocket Audio Pocket Waterproof Lightweight,Adjustable Double Padded,Burlap Nylon Polyester,0
backpack,Impulse Duffle,24-UB02,24-UB02,74,100,"<p>Good for beach trips, track meets, yoga retreats and more, the Impulse Duffle is the companion you'll want at your side. A large U-shaped opening makes packing a hassle-free affair, while a zippered interior pocket keeps jewelry and other small valuables safely tucked out of sight.</p> <ul> <li>Wheeled.</li> <li>Dual carry handles.</li> <li>Retractable top handle.</li> <li>W 14"" x H 26"" x D 11"".</li> </ul>",Wheeled TSA Approved Lockable,Adjustable Double Telescoping,Nylon Polyester,0
backpack,Voyage Yoga Bag,24-WB01,24-WB01,32,100,"<p>Everything you need for a trip to the gym will fit inside this surprisingly spacious Voyage Yoga Bag. Stock it with a water bottle, change of clothes, pair of shoes, and even a few beauty products. Fits inside a locker and zips shut for security.</p> <ul> <li>Slip pocket on front.</li> <li>Contrast piping.</li> <li>Durable nylon construction.</li> </ul>",Waterproof Reflective Lockable,Double Shoulder,Nylon Polyester,0
backpack,Compete Track Tote,24-WB02,24-WB02,32,100,"<p>The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.<p> <ul> <li>Two-way zippers.</li> <li>Contrast detailing.</li> <li>W 22.0"" x H 17"" x D 10"".</li> </ul>",Waterproof Lightweight Reflective,Adjustable Double Shoulder,Nylon Polyester Rayon,0
backpack,Savvy Shoulder Tote,24-WB05,24-WB05,32,100,"<p>Powerwalking to the gym or strolling to the local coffeehouse, the Savvy Shoulder Tote lets you stash your essentials in sporty style! A top-loading compartment provides quick and easy access to larger items, while zippered pockets on the front and side hold cash, credit cards and phone.</p> <ul> <li>Water-resistant shell.</li> <li>Water bottle pocket.</li> <li>Padded, articulating shoulder strap.</li> <li>Dimensions: W 21"" x H 15"" x D 10"".</li> </ul>",Audio Pocket Lightweight,Adjustable Cross Body Shoulder Single,Nylon Polyester Rayon,24
backpack,Endeavor Daytrip Backpack,24-WB06,24-WB06,33,100,"<p>With more room than it appears, the Endeavor Daytrip Backpack will hold a whole day's worth of books, binders and gym clothes. The spacious main compartment includes a dedicated laptop sleeve. Two other compartments offer extra storage space.</p> <ul> <li>Foam-padded adjustable shoulder straps.</li> <li>900D polyester.</li> <li>Oversized zippers.</li> <li>Locker loop.</li> </ul>",Audio Pocket Lightweight Reflective Laptop Sleeve Lockable,Adjustable Double Padded,Mesh Nylon Polyester,33
backpack,Driven Backpack,24-WB03,24-WB03,36,100,"<p>School books, camp gear and yoga clothes get along just fine in the all-purpose Driven Backpack. Crafted with tough polyester ripstop fabric, it's outfitted with rubberized end panels and padded, adjustable shoulder straps. The roomy main compartment features molded foam pockets that host everything you need.</p> <ul> <li>Large main and small zip compartments.</li> <li>Adjustable, padded straps.</li> <li>Interior foam pockets.</li> <li>Exterior zip compartment.</li> <li>Left sport bottle pocket.</li> <li>Survival gear sold separately.</li> </ul>",Hydration Pocket Audio Pocket Lightweight Laptop Sleeve,Adjustable Double Padded,Mesh Nylon Polyester,0
backpack,Overnight Duffle,24-WB07,24-WB07,45,100,"<p>For long weekends away, camping outings and business trips, the Overnight Duffle can't be beat. The dual handles make it a cinch to carry, while the durable waterproof exterior helps you worry less about the weather. With multiple organizational pockets inside and out, it's the perfect travel companion.</p> <ul> <li>Dual top handles.</li> <li>W 15"" x H 15"" x D 9"".</li> </ul>",Waterproof Lockable,Double,Leather Nylon Polyester,0
backpack,Push It Messenger Bag,24-WB04,24-WB04,45,100,"<p>The name says so, but the Push It Messenger Bag is much more than a busy commuter's tote. It's a closet away from home when you're pedaling from class or work to gym and back or home again. It's the perfect size and shape for laptop, folded clothes, even extra shoes.</p> <ul> <li>Adjustable crossbody strap.</li> <li>Top handle.</li> <li>Zippered interior pocket.</li> <li>Secure clip closures.</li> <li>Durable fabric construction.</li> </ul>",Waterproof Lightweight Laptop Sleeve Lockable,Adjustable Cross Body Detachable Padded Shoulder Single,Nylon Polyester,0
gym,Sprite Stasis Ball 55 cm,24-WG081-gray,24-WG081-gray,23,100,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",Yoga Gym,Men Women Boys Girls Unisex,Plastic,0
gym,Sprite Stasis Ball 55 cm,24-WG081-pink,24-WG081-pink,23,100,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",Yoga Gym,Men Women Boys Girls Unisex,Plastic,0
gym,Sprite Stasis Ball 55 cm,24-WG081-blue,24-WG081-blue,23,100,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",Yoga Gym,Men Women Boys Girls Unisex,Plastic,0
gym,Sprite Stasis Ball 65 cm,24-WG082-gray,24-WG082-gray,27,100,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>65 cm plastic shell.</li> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",Yoga Gym,Men Women Boys Girls Unisex,Plastic,0
gym,Sprite Stasis Ball 65 cm,24-WG082-pink,24-WG082-pink,27,100,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>65 cm plastic shell.</li> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",Yoga Gym,Men Women Boys Girls Unisex,Plastic,0
gym,Sprite Stasis Ball 65 cm,24-WG082-blue,24-WG082-blue,27,100,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>65 cm plastic shell.</li> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",Yoga Gym,Men Women Boys Girls Unisex,Plastic,0
gym,Sprite Stasis Ball 75 cm,24-WG083-gray,24-WG083-gray,32,100,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>75 cm plastic shell.</li> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",Yoga Gym,Men Women Boys Girls Unisex,Plastic,0
gym,Sprite Stasis Ball 75 cm,24-WG083-pink,24-WG083-pink,32,100,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>75 cm plastic shell.</li> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",Yoga Gym,Men Women Boys Girls Unisex,Plastic,0
gym,Sprite Stasis Ball 75 cm,24-WG083-blue,24-WG083-blue,32,100,"<p>The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.</p> <ul> <li>75 cm plastic shell.</li> <li>Durable, burst-resistant design.</li> <li>Hand pump included.</li> </ul>",Yoga Gym,Men Women Boys Girls Unisex,Plastic,0
sports-watch,Aim Analog Watch,24-MG04,24-MG04,45,100,"<p>Stay light-years ahead of the competition with our Aim Analog Watch. The flexible, rubberized strap is contoured to conform to the shape of your wrist for a comfortable all-day fit. The face features three illuminated hands, a digital read-out of the current time, and stopwatch functions.</p> <ul> <li>Japanese quartz movement.</li> <li>Strap fits 7"" to 8.0"".</li> </ul>",Recreation Sports Outdoor Gym,Men,Plastic Rubber,0
sports-watch,Endurance Watch,24-MG01,24-MG01,49,100,"<p>It's easy to track and monitor your training progress with the Endurance Watch. You'll see standard info like time, date and day of the week, but it also functions for the serious high-mileage athete: lap counter, stopwatch, distance, heart rate, speed/pace, cadence and altitude.</p> <ul> <li>Digital display.</li> <li>LED backlight.</li> <li>Strap fits 7"" to 10"".</li> <li>1-year limited warranty.</li> <li>Comes with polished metal case.</li> </ul>",Recreation Athletic,Men,Metal Rubber Silicone,0
sports-watch,Summit Watch,24-MG03,24-MG03,54,100,"<p>Trek high and low in the attractive Summit Watch, which features a digital LED display with time and date, stopwatch, lap counter, and 3-second backlight. It can also calculate the number of steps taken and calories burned.</p> <ul> <li>Brushed metal case.</li> <li>Water resistant (100 meters).</li> <li>Buckle clasp.</li> <li>Strap fits 7"" - 10"".</li> <li>1-year limited warranty.</li> </ul>",Recreation Athletic Sports Outdoor Gym,Men Women Unisex,Metal Plastic Silicone,0
sports-watch,Cruise Dual Analog Watch,24-MG05,24-MG05,55,100,"<p>Whether you're traveling or wish you were, you'll never let time zones perplex you again with the Cruise Dual Analog Watch. The thick, adjustable band promises a comfortable, personalized fit to this classy, modern time piece.</p> <ul> <li>Two dials.</li> <li>Stainless steel case.</li> <li>Adjustable leather band.</li> </ul>",Recreation,Men,Leather Plastic,0
sports-watch,Dash Digital Watch,24-MG02,24-MG02,92,100,"<p>The Dash Digital Watch will challenge you to push harder and longer. Log workouts by date, average, and segment times, and recharge by setting hydration and nutrition alarms. This watch is styled with a sleek, square face and durable rubber strap for a long life.</p> <ul> <li>Digital display.</li> <li>LED backlight.</li> <li>Rubber strap with buckle clasp.</li> <li>1-year limited warranty.</li>",Athletic Sports Outdoor Gym,Men,Rubber,0
sports-watch,Luma Analog Watch,24-WG09,24-WG09,43,100,"<p>Designed to stand up to your active lifestyle, this women's Luma Analog Watch features a tasteful brushed chrome finish and a stainless steel, water-resistant construction for lasting durability.</p> <ul> <li>Precision Miyota&reg; three-hand movement.</li> </ul>",Recreation,Women,Stainless Steel,43
sports-watch,Bolo Sport Watch,24-WG01,24-WG01,49,100,"<p>The Bolo Sport Watch is sleek, sporty and sized just right to fit your smaller wrist. Easy to read and set up, it features a large digital face and button-activated alarm and stopwatch. The soft-touch resin band promises no-pinch comfort, while the water-resistant design lets you take your workout to the lap pool.</p> <ul> <li>Displays time, day and date.</li> <li>Two-tone design.</li> <li>12/24 hour formats.</li> <li>Nickel-free buckle on band.</li> <li>Battery included.</li> </ul>",Recreation Sports,Women,Silicone,49
sports-watch,Clamber Watch,24-WG03,24-WG03,54,100,"<p>Keep track of time on the treadmill or trail with our Clamber Watch. The flexible, rubberized strap is contoured to conform to your wrist for a comfortable fit all day. The face features an illuminated digital read-out of the current time and stopwatch functions.</p> <ul> <li>Japanese quartz movement.</li> <li>Strap fits 5"" to 6.0"".</li> </ul>",Recreation Athletic Outdoor Gym,Women,Plastic Rubber Silicone,0
sports-watch,Didi Sport Watch,24-WG02,24-WG02,92,100,"<p>The Didi Sport Watch helps you keep your workout plan down to the second. The vertical, digital face looks sleek and futuristic. This watch is programmed with tons of helpful features such as a timer, an alarm clock, a pedometer, and more to help make your excercise more productive.</p> <ul> <li>Digital display.</li> <li>LED backlight.</li> <li>Rubber strap with buckle clasp.</li> <li>1-year limited warranty.</li> </ul>",Athletic Gym,Women,Metal Rubber Silicone,0
yoga,Stellar Solar Jacket-S-Blue,WJ01-S-Blue,WJ01-S-Blue,79.99,99,"<p>Beat the heat and protect yourself from sunrays with the Stellar Solar Jacket. It's loaded with all the engineered features you need for an intense, safe outdoor workout: 100% UV protection, a breathable perforated construction, and advanced moisture-wicking technology.</p><p>&bull; Loose fit. <br />&bull; Reflectivity. <br />&bull; Flat seams. <br />&bull; Machine wash/dry.<br />&bull; Deep pink jacket with front panel rouching</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Stellar Solar Jacket-S-Red,WJ01-S-Red,WJ01-S-Red,59.99,99,"<p>Beat the heat and protect yourself from sunrays with the Stellar Solar Jacket. It's loaded with all the engineered features you need for an intense, safe outdoor workout: 100% UV protection, a breathable perforated construction, and advanced moisture-wicking technology.</p> <p>&bull; Loose fit. <br />&bull; Reflectivity. <br />&bull; Flat seams. <br />&bull; Machine wash/dry.<br />&bull; Deep pink jacket with front panel rouching</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Stellar Solar Jacket-S-Yellow,WJ01-S-Yellow,WJ01-S-Yellow,59.99,99,"<p>Beat the heat and protect yourself from sunrays with the Stellar Solar Jacket. It's loaded with all the engineered features you need for an intense, safe outdoor workout: 100% UV protection, a breathable perforated construction, and advanced moisture-wicking technology.</p> <p>&bull; Loose fit. <br />&bull; Reflectivity. <br />&bull; Flat seams. <br />&bull; Machine wash/dry.<br />&bull; Deep pink jacket with front panel rouching</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Stellar Solar Jacket-M-Blue,WJ01-M-Blue,WJ01-M-Blue,89.99,99,"<p>Beat the heat and protect yourself from sunrays with the Stellar Solar Jacket. It's loaded with all the engineered features you need for an intense, safe outdoor workout: 100% UV protection, a breathable perforated construction, and advanced moisture-wicking technology.</p><p>&bull; Loose fit. <br />&bull; Reflectivity. <br />&bull; Flat seams. <br />&bull; Machine wash/dry.<br />&bull; Deep pink jacket with front panel rouching</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Stellar Solar Jacket-M-Red,WJ01-M-Red,WJ01-M-Red,62.99,99,"<p>Beat the heat and protect yourself from sunrays with the Stellar Solar Jacket. It's loaded with all the engineered features you need for an intense, safe outdoor workout: 100% UV protection, a breathable perforated construction, and advanced moisture-wicking technology.</p><p>&bull; Loose fit. <br />&bull; Reflectivity. <br />&bull; Flat seams. <br />&bull; Machine wash/dry.<br />&bull; Deep pink jacket with front panel rouching</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Stellar Solar Jacket-M-Yellow,WJ01-M-Yellow,WJ01-M-Yellow,79.99,99,"<p>Beat the heat and protect yourself from sunrays with the Stellar Solar Jacket. It's loaded with all the engineered features you need for an intense, safe outdoor workout: 100% UV protection, a breathable perforated construction, and advanced moisture-wicking technology.</p><p>&bull; Loose fit. <br />&bull; Reflectivity. <br />&bull; Flat seams. <br />&bull; Machine wash/dry.<br />&bull; Deep pink jacket with front panel rouching</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Stellar Solar Jacket-L-Blue,WJ01-L-Blue,WJ01-L-Blue,62.99,99,"<p>Beat the heat and protect yourself from sunrays with the Stellar Solar Jacket. It's loaded with all the engineered features you need for an intense, safe outdoor workout: 100% UV protection, a breathable perforated construction, and advanced moisture-wicking technology.</p><p>&bull; Loose fit. <br />&bull; Reflectivity. <br />&bull; Flat seams. <br />&bull; Machine wash/dry.<br />&bull; Deep pink jacket with front panel rouching</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Stellar Solar Jacket-L-Red,WJ01-L-Red,WJ01-L-Red,59.99,99,"<p>Beat the heat and protect yourself from sunrays with the Stellar Solar Jacket. It's loaded with all the engineered features you need for an intense, safe outdoor workout: 100% UV protection, a breathable perforated construction, and advanced moisture-wicking technology.</p><p>&bull; Loose fit. <br />&bull; Reflectivity. <br />&bull; Flat seams. <br />&bull; Machine wash/dry.<br />&bull; Deep pink jacket with front panel rouching</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Stellar Solar Jacket-L-Yellow,WJ01-L-Yellow,WJ01-L-Yellow,34.99,99,"<p>Beat the heat and protect yourself from sunrays with the Stellar Solar Jacket. It's loaded with all the engineered features you need for an intense, safe outdoor workout: 100% UV protection, a breathable perforated construction, and advanced moisture-wicking technology.</p><p>&bull; Loose fit. <br />&bull; Reflectivity. <br />&bull; Flat seams. <br />&bull; Machine wash/dry.<br />&bull; Deep pink jacket with front panel rouching</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Stellar Solar Jacket,WJ01,WJ01,72.99,99,"<p>Beat the heat and protect yourself from sunrays with the Stellar Solar Jacket. It's loaded with all the engineered features you need for an intense, safe outdoor workout: 100% UV protection, a breathable perforated construction, and advanced moisture-wicking technology.</p><p>&bull; Loose fit. <br />&bull; Reflectivity. <br />&bull; Flat seams. <br />&bull; Machine wash/dry.<br />&bull; Deep pink jacket with front panel rouching</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Josie Yoga Jacket-XS-Black,WJ02-XS-Black,WJ02-XS-Black,72.99,99,"<p>When your near future includes yoga, the cozy comfort of the Josie Yoga Jacket gets your mind and body ready. Stretchy CoolTech&trade; fabric with zipper pockets makes this jacket the right gear for studio time or teatime after.</p><p>&bull; Slate rouched neck pullover.<br />&bull; Moisture-wicking fabric.<br />&bull; Hidden zipper.<br />&bull; Mesh armpit venting.<br />&bull; Dropped rear hem.</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Adrienne Trek Jacket-M-Gray,WJ12,WJ12,79.99,99,<p>This is a sample...</p>,None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket-XS-Orange,WJ04-XS-Orange,WJ04-XS-Orange,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket-XS-Red,WJ04-XS-Red,WJ04-XS-Red,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket-XS-White,WJ04-XS-White,WJ04-XS-White,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket-S-Orange,WJ04-S-Orange,WJ04-S-Orange,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket-S-Red,WJ04-S-Red,WJ04-S-Red,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
yoga,Ingrid Running Jacket-S-White,WJ04-S-White,WJ04-S-White,84,30,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",None,Men Women Unisex,Nylon Polyester Rayon,0
